restaurant_name,compliant,business_address,street_number,street_name,city,postcode
Just Salad,1,233 Broadway,233,Broadway,New York,10279
Fowler and Wells,0,5 Beekman St,5,Beekman St,New York,10038
Birch Coffee,1,8 Spruce St,8,Spruce St,New York,10038
"Wxyz Bar,",1,49 Ann St,49,Ann St,New York,10038
Poke Bowl,1,104 Fulton St,104,Fulton St,New York,10038
Sakura Of Japan,0,73 Nassau St,73,Nassau St,New York,10038
Dunkin' Donuts,1,80 John St,80,John St,New York,10038
Hole In The Wall,1,15 Cliff St,15,Cliff St,New York,10038
Feed Your Soul Café,0,14 Wall St,14,Wall St,New York,10005
Black Fox Coffee Co,1,70 Pine St,70,Pine St,New York,10270
Fairfield Inn & Suites,1,161 Front St,161,Front St,New York,10038
Delivery Only,0,126 Pearl St,126,Pearl St,New York,10005
Bluestone Lane,1,90 Water St,90,Water St,New York,10005
Industry Kitchen,0,70 South St,70,South St,New York,10005
Just Salad,1,90 Broad St,90,Broad St,New York,10004
Hale and Hearty,1,111 Fulton St,111,Fulton St,New York,10038
Ainsworth,1,121 Fulton St,121,Fulton St,New York,10038
Keste Fulton,1,66 gold street,66,gold street,New York,10038
Temple Court,1,5 Beekman St,5,Beekman St,New York,10038
Joe's Pizza,1,124 Fulton St,124,Fulton St,New York,10038
Potbelly Sandwich Shop,1,127 Fulton St,127,Fulton St,New York,10038
GRK Fresh Greek,1,111 Fulton St,111,Fulton St,New York,10038
Plaza Deli,1,127 John St,127,John St,New York,10038
Flavors Café,1,175 Water St,175,Water St,New York,10038
Roast Kitchen,1,199 Water St,199,Water St,New York,10038
Mamam,1,239 Centre St,239,Centre St,New York,10013
Flour Shop,0,177 Lafayette St,177,Lafayette St,New York,10013
Troquet,1,155 Grand St,155,Grand St,New York,10013
"109 West Broadway Food & Wine LLC,",0,109 W Broadway,109,W Broadway,New York,10013
Gasoline Alley Coffee,1,154 Grand St,154,Grand St,New York,10013
The Ship,0,158 Lafayette St,158,Lafayette St,New York,10013
109 West Broadway Food & Wine LLC,0,109 W Broadway,109,W Broadway,New York,10013
Graffiti,0,130 Duane St,130,Duane St,New York,10013
Prologue Coffee Room,0,120 Lafayette St,120,Lafayette St,New York,10013
Aunt Jakes,1,151 Mulberry St,151,Mulberry St,New York,10013
Tetsu,0,78 Leonard St,78,Leonard St,New York,10013
Pure Green,0,95 Chambers St,95,Chambers St,New York,10007
Black Burger/ Roll N Go Pizza,0,362 Broadway,362,Broadway,New York,10013
Racines,0,94 Chambers St,94,Chambers St,New York,10007
